page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
9,3,M103088167_SDDLAC_Jr_Dreamland_DTF_on_Navy.png,M103088167 SDDLAC Jr Dreamland DTF on Navy,tshirt/women,tshirt\women\M103088167_SDDLAC_Jr_Dreamland_DTF_on_Navy.png,e0c6692663172ac1a0666e2452ac58e7,20614,False
9,4,M103087849_SDBIOC_Jr_Bionic_DTF_on_Navy.png,M103087849 SDBIOC Jr Bionic DTF on Navy,tshirt/women,tshirt\women\M103087849_SDBIOC_Jr_Bionic_DTF_on_Navy.png,bd6554028adb86b505c823ee4099cbc3,21445,False
10,1,M103096156_SDTILS_Jr_Tilting_DTF_on_Steel.png,M103096156 SDTILS Jr Tilting DTF on Steel,tshirt/women,tshirt\women\M103096156_SDTILS_Jr_Tilting_DTF_on_Steel.png,14270ff944be6551eeec311c8df093df,28738,False
10,2,M103095627_SH2FDS_Jr_Custom_DTF_on_Steel.png,M103095627 SH2FDS Jr Custom DTF on Steel,tshirt/women,tshirt\women\M103095627_SH2FDS_Jr_Custom_DTF_on_Steel.png,f78da91c40e32c8b4007eaab7f33e11d,24851,False
10,3,M205582569_SDSTUS_Jr_Stunt_DTF_on_Steel.png,M205582569 SDSTUS Jr Stunt DTF on Steel,tshirt/women,tshirt\women\M205582569_SDSTUS_Jr_Stunt_DTF_on_Steel.png,9ab679195e9239b008da1abb255ac01b,26967,False
10,4,M204705151_SDCDOS_Jr_Check_Down_DTF_on_Steel.png,M204705151 SDCDOS Jr Check Down DTF on Steel,tshirt/women,tshirt\women\M204705151_SDCDOS_Jr_Check_Down_DTF_on_Steel.png,8ec2075a9ac0ec1de1f78b6fa111b360,27643,False
11,1,M206055591_SDINTO_Infant_Custom_DTF_Logo.png,M206055591 SDINTO Infant Custom DTF Logo,youth&infant,youth&infant\M206055591_SDINTO_Infant_Custom_DTF_Logo.png,8763f27329562b25fcb04ab3a696d5e1,30268,False
11,2,M206055689_SHY2DC_Youth_Custom_DTF_on_Navy.png,M206055689 SHY2DC Youth Custom DTF on Navy,youth&infant,youth&infant\M206055689_SHY2DC_Youth_Custom_DTF_on_Navy.png,7aa764643969ed6ccabb208b8ec38648,17744,False
11,3,M206055845_SDYBXC_Youth_Braxton_DTF_on_Navy.png,M206055845 SDYBXC Youth Braxton DTF on Navy,youth&infant,youth&infant\M206055845_SDYBXC_Youth_Braxton_DTF_on_Navy.png,5ad2b7672ba763d3c19fe3fa80cd01a8,25625,False
11,4,M206055412_SHY2DC_Youth_Custom_DTF_on_Steel.png,M206055412 SHY2DC Youth Custom DTF on Steel,youth&infant,youth&infant\M206055412_SHY2DC_Youth_Custom_DTF_on_Steel.png,bdf689c6072d9a4b9ab84d35c7511357,28831,False
12,1,M206055950_SDYTWS_Youth_Tweener_DTF_on_Steel.png,M206055950 SDYTWS Youth Tweener DTF on Steel,youth&infant,youth&infant\M206055950_SDYTWS_Youth_Tweener_DTF_on_Steel.png,62e1a728543c5cd5a32a2f94f881602c,32667,False
