page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
10,2,M103295333_SHE1CB_Custom_Gray_Beanie.png,M103295333 SHE1CB Custom Gray Beanie,beanie,beanie\M103295333_SHE1CB_Custom_Gray_Beanie.png,6b7a0f8247967acfa1fdd784fc986787,17495,False
10,3,M104170130_SHE1CB_Custom_White_Beanie.png,M104170130 SHE1CB Custom White Beanie,beanie,beanie\M104170130_SHE1CB_Custom_White_Beanie.png,e8035979200c13814b3d1865783a1a4c,11154,False
10,4,M104170245_SHE1CB_Custom_White_Beanie.png,M104170245 SHE1CB Custom White Beanie,beanie,beanie\M104170245_SHE1CB_Custom_White_Beanie.png,08b8a5e43be5cbe8ca1438a783f115bd,13014,False
11,1,M103293339_SS8052_Custom_Logo_Socks.png,M103293339 SS8052 Custom Logo Socks,socks,socks\M103293339_SS8052_Custom_Logo_Socks.png,c15149db38f90cb03d64f9cfdf822d52,29401,False
11,2,M103467678_SDBAPA_Custom_DTF_Backpack.png,M103467678 SDBAPA Custom DTF Backpack,backpack,backpack\M103467678_SDBAPA_Custom_DTF_Backpack.png,90de2913a3fe0288620845194e99a4c7,30485,False
11,3,M104251862_SDCABP_Cambre_DTF_Backpack.png,M104251862 SDCABP Cambre DTF Backpack,backpack,backpack\M104251862_SDCABP_Cambre_DTF_Backpack.png,c7f78c63874c01a8b6170976dd99de73,32593,False
11,4,M103467569_SHPLUD_Custom_DTF_Plush.png,M103467569 SHPLUD Custom DTF Plush,plush,plush\M103467569_SHPLUD_Custom_DTF_Plush.png,4b6e33a296ac5008623dc24c8e2d1a46,35632,False
12,1,M103467322_SHSTPK_Custom_Logo_Sticker_Pack.png,M103467322 SHSTPK Custom Logo Sticker Pack,sticker,sticker\M103467322_SHSTPK_Custom_Logo_Sticker_Pack.png,2b4fc09cdd8d951294fd41da5999498f,55335,False
12,2,M103293417_SHWBUV_Custom_Logo_Water_Bottle.png,M103293417 SHWBUV Custom Logo Water Bottle,bottle,bottle\M103293417_SHWBUV_Custom_Logo_Water_Bottle.png,9eab07a55a92b88a9e071ed16a6950cd,38801,False
12,3,M103293585_SHSSUV_Stainless_Steel_Water_Bottle.png,M103293585 SHSSUV Stainless Steel Water Bottle,bottle,bottle\M103293585_SHSSUV_Stainless_Steel_Water_Bottle.png,47fb650b21258888a32d3804a4633c90,29324,False
12,4,M103296942_SHWGCH_Custom_PFD_Header_Card.png,M103296942 SHWGCH Custom PFD Header Card,signage,signage\M103296942_SHWGCH_Custom_PFD_Header_Card.png,6066cef085ae69ccfeeec433855a9d80,21541,False
13,1,M103297095_SHWGCS_Custom_Spinner_Header_Card.png,M103297095 SHWGCS Custom Spinner Header Card,signage,signage\M103297095_SHWGCS_Custom_Spinner_Header_Card.png,562707c442346284eff5c232733370bd,39359,False
13,2,M103490861_SHMH23_Custom_3ft_Shelf_Magnet.png,M103490861 SHMH23 Custom 3ft Shelf Magnet,signage,signage\M103490861_SHMH23_Custom_3ft_Shelf_Magnet.png,02946196e37c9209cd9802d5732da741,26351,False
13,3,M103490425_SHMH24_Custom_4ft_Shelf_Magnet.png,M103490425 SHMH24 Custom 4ft Shelf Magnet,signage,signage\M103490425_SHMH24_Custom_4ft_Shelf_Magnet.png,b7ab8c5191d852d2276b4a21810ddf2c,23314,False
